date;heure;latitude;longitude;height;Q;ns;sdn(m);sde(m);sdu(m);sdne(m);sdeu(m);sdun(m);age(s);ratio;temps;distance;vitesse;tension;courant;frein;omega;couple;accel;theta
2024/06/13;13:55:05.697;48.664096825;6.155790424;304.7261;2;14;0.1482;0.1974;0.3415;-0.064;0.0916;0.1737;0.7;1.3;8.700000020980834;0.0;0.0;368.9392304012706;-0.4303847993646885;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:05.797;48.664096805;6.155790458;304.7287;2;14;0.1473;0.1972;0.3394;-0.0645;0.0908;0.1726;0.8;1.3;8.800000020980836;0.0;0.0;368.9380492338047;-0.43097538309765016;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:05.897;48.664096797;6.155790405;304.7349;2;14;0.1465;0.1971;0.3373;-0.0649;0.0902;0.1715;0.9;1.3;8.900000020980835;0.0;0.0;368.9368680663388;-0.4315659668306118;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:05.997;48.664096778;6.155790552;304.7469;2;14;0.1457;0.1969;0.3352;-0.0653;0.0895;0.1704;0.0;1.3;9.000000020980835;0.0;0.0;368.93568689887286;-0.43215655056357344;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:06.097;48.664096796;6.155790557;304.7603;2;14;0.145;0.1967;0.3332;-0.0657;0.0888;0.1693;0.1;1.3;9.100000020980834;0.0;0.0;368.93450573140694;-0.4327471342965351;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:06.197;48.664096783;6.155790589;304.7704;2;14;0.1442;0.1965;0.3312;-0.0661;0.0881;0.1683;0.2;1.3;9.200000020980834;0.0;0.0;368.933324563941;-0.4333377180294968;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:06.297;48.664096786;6.155790657;304.7788;2;14;0.1434;0.1964;0.3292;-0.0665;0.0875;0.1672;0.3;1.3;9.300000020980836;0.0;0.0;368.93214339647506;-0.43392830176245845;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:06.397;48.664096806;6.155790699;304.7933;2;14;0.1427;0.1962;0.3273;-0.0669;0.0869;0.1662;0.4;1.3;9.400000020980835;0.0;0.0;368.93096222900914;-0.4345188854954201;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:06.497;48.664096826;6.155790691;304.8031;2;14;0.142;0.196;0.3254;-0.0672;0.0862;0.1652;0.5;1.3;9.500000020980835;0.0;0.0;368.9297810615432;-0.4351094692283818;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:06.597;48.66409683;6.155790685;304.8093;2;14;0.1412;0.1959;0.3235;-0.0676;0.0856;0.1642;0.6;1.2;9.600000020980834;0.0;0.0;368.9285998940773;-0.4357000529613434;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:06.697;48.66409681;6.155790704;304.8159;2;14;0.1405;0.1957;0.3217;-0.0679;0.085;0.1632;0.7;1.2;9.700000020980834;0.0;0.0;368.9274187266114;-0.43629063669430507;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:06.797;48.66409678;6.155790759;304.8127;2;14;0.1398;0.1955;0.3198;-0.0682;0.0844;0.1623;0.8;1.2;9.800000020980836;0.0;0.0;368.9262375591455;-0.43688122042726674;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:06.897;48.664096766;6.155790776;304.819;2;14;0.1391;0.1954;0.3181;-0.0685;0.0839;0.1613;0.9;1.2;9.900000020980835;0.0;0.0;368.92505639167956;-0.4374718041602284;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:06.997;48.664096779;6.155790779;304.8308;2;14;0.1384;0.1952;0.3163;-0.0688;0.0833;0.1604;0.0;1.2;10.000000020980835;0.0;0.0;368.92387522421365;-0.4380623878931901;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:07.097;48.664096805;6.155790722;304.8392;2;14;0.1378;0.195;0.3145;-0.0691;0.0827;0.1595;0.1;1.2;10.100000020980834;0.0;0.0;368.9226940567477;-0.4386529716261517;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:07.197;48.66409679;6.155790828;304.8494;2;14;0.1371;0.1949;0.3128;-0.0693;0.0822;0.1585;0.2;1.2;10.200000020980834;0.0;0.0;368.92151288928176;-0.43924355535911336;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:07.297;48.664096888;6.155790511;304.8667;2;14;0.1358;0.1879;0.3111;-0.0646;0.0811;0.1577;0.3;1.3;10.300000020980836;0.0;0.0;368.92033172181584;-0.439834139092075;1.0;0.0;0.0;0.0;1.5707963267948966
